,Dataset,Method,Metric,Patient,Performance
156,V-23_24,MMSBM,Recall,54,0.7692307692307693
157,V-23_24,MMSBM,Precision,54,0.79999999984
158,V-23_24,MMSBM,Accuracy,54,0.7457627118644068
159,V-23_24,MMSBM,Recall,57,0.3953488372093023
160,V-23_24,MMSBM,Precision,57,0.6071428569260204
161,V-23_24,MMSBM,Accuracy,57,0.652542372881356
162,V-23_24,MMSBM,Recall,56,0.4827586206896552
163,V-23_24,MMSBM,Precision,56,0.5833333330902778
164,V-23_24,MMSBM,Accuracy,56,0.7627118644067796
165,V-23_24,MMSBM,Recall,51,0.5306122448979592
166,V-23_24,MMSBM,Precision,51,0.7222222220216049
167,V-23_24,MMSBM,Accuracy,51,0.6949152542372883
168,V-23_24,MMSBM,Recall,50,0.7540983606557377
169,V-23_24,MMSBM,Precision,50,0.8518518516941015
170,V-23_24,MMSBM,Accuracy,50,0.728813559322034
171,V-23_24,MMSBM,Recall,53,0.5
172,V-23_24,MMSBM,Precision,53,0.6060606058769513
173,V-23_24,MMSBM,Accuracy,53,0.711864406779661
174,V-23_24,MMSBM,Recall,52,0.6216216216216216
175,V-23_24,MMSBM,Precision,52,0.6388888887114197
176,V-23_24,MMSBM,Accuracy,52,0.7372881355932204
177,V-23_24,MMSBM,Recall,164,0.782608695652174
178,V-23_24,MMSBM,Precision,164,0.6545454544264463
179,V-23_24,MMSBM,Accuracy,164,0.6949152542372881
180,V-23_24,MMSBM,Recall,201,0.6944444444444444
181,V-23_24,MMSBM,Precision,201,0.6756756754930606
182,V-23_24,MMSBM,Accuracy,201,0.7627118644067797
183,V-23_24,MMSBM,Recall,199,0.6060606060606061
184,V-23_24,MMSBM,Precision,199,0.79999999968
185,V-23_24,MMSBM,Accuracy,199,0.7627118644067796
186,V-23_24,MMSBM,Recall,198,0.6666666666666666
187,V-23_24,MMSBM,Precision,198,0.6808510636849253
188,V-23_24,MMSBM,Accuracy,198,0.6779661016949152
189,V-23_24,MMSBM,Recall,200,0.8043478260869565
190,V-23_24,MMSBM,Precision,200,0.8222222220395061
191,V-23_24,MMSBM,Accuracy,200,0.8050847457627118
192,V-23_24,MMSBM,Recall,195,0.7241379310344828
